Size,Price
7745,7.00E+05
3700,335000
5250,510000
4082,285000
4082,198558
3150,367500
3544,4.00E+05
60200,5900000
41972,3340441
26280,2012500
42294,3022303
22554,2300000
68546,4851592
5376,580000
4725,325000
7155,834502
5700,714354
84340,6225901
53601,3459742
66710,4135784
36916,3850000
41460,5070000
5451,570000
84340,8750000
51354,3550000
60717,8865379
27733,5.00E+05
41972,4500000
16475,1925000
36000,4600000
37362,3.00E+06
4000,335000
5376,480000
10232,3450000
5451,565000
5700,625000
5250,565000
66710,6900000
50934,3900000
44982,3500000
9360,995000
41972,4431600
5896,630000
5130,625000
11480,1580000
3000,435000
3040,615000
41460,5500000
42294,4367700
7325,895000
3108,605000
37362,3500000
9676,775000
23560,2200000
3240,650000
68546,2.00E+06
68546,5275567
4148,530000
10720,1425000
7155,675000
5250,510000
4075,575000
3544,660000
9104,1000408
45036,3200000
48054,3900000
84340,8444247
53601,5164650
66710,6157150
50934,5050000
44982,4100000
4150,567000
7691,650000
1620,615000
10232,3560000
3150,427637
5544,6.00E+05
5143,547500
63480,6967783
53432,6524000
7554,640000
4968,378000
4332,415000
5850,4.00E+05
4725,530000
3000,285000
3396,450000
5376,325000
10232,2225000
5451,3.00E+05
2870,335000
3080,340000
4968,460000
15000,825000
3480,430000
3000,424520
23560,2050000
3700,236250
10720,1.00E+06
10720,740000
3600,325000
20100,2150000
63480,6200000
7855,132500
4150,560000
27733,3425000
36916,3325000
46530,4225000
18470,1250000
11480,1687500
3276,4.00E+05
5160,380000
42760,2500000
5100,770500
3822,480000
13135,1150000
4082,520000
6000,525000
3453,375500
3600,275000
2772,475000
4075,425000
5544,520000
9104,1255000
3552,480000
3276,565000
5100,735000
2758,520000
3066,570000
4082,662500
3455,480000
2992,6.00E+05
3453,572000
20100,2025000
3150,574260
4254,190000